exchange,market,timestamp,date,volume_eth,notional_volume_usd,close
Hyperliquid,ETH,2026-05-18T06:00:00+00:00,2026-05-18,13596.6606,28795007.81868,2117.8
Hyperliquid,ETH,2026-05-18T07:00:00+00:00,2026-05-18,9697.7036,20554282.7802,2119.5
Orderly,PERP_ETH_USDC,2026-05-18T07:00:00+00:00,2026-05-18,305.5557,648010.3063320001,2120.76
Hyperliquid,ETH,2026-05-18T08:00:00+00:00,2026-05-18,7369.3757,15625287.296710001,2120.3
Orderly,PERP_ETH_USDC,2026-05-18T08:00:00+00:00,2026-05-18,163.2898,346468.29764000006,2121.8
Hyperliquid,ETH,2026-05-18T09:00:00+00:00,2026-05-18,3955.6732,8369017.78924,2115.7
Orderly,PERP_ETH_USDC,2026-05-18T09:00:00+00:00,2026-05-18,37.0891,78511.31955300001,2116.83
Hyperliquid,ETH,2026-05-18T10:00:00+00:00,2026-05-18,9679.3029,20455270.818570003,2113.3
Orderly,PERP_ETH_USDC,2026-05-18T10:00:00+00:00,2026-05-18,78.5352,166073.67532799998,2114.64
Hyperliquid,ETH,2026-05-18T11:00:00+00:00,2026-05-18,30442.4763,64918580.70975,2132.5
Orderly,PERP_ETH_USDC,2026-05-18T11:00:00+00:00,2026-05-18,688.6663,1469496.810929,2133.83
Hyperliquid,ETH,2026-05-18T12:00:00+00:00,2026-05-18,62822.6626,135062442.32374,2149.9
Orderly,PERP_ETH_USDC,2026-05-18T12:00:00+00:00,2026-05-18,2322.1303,4997177.962994,2151.98
Hyperliquid,ETH,2026-05-18T13:00:00+00:00,2026-05-18,52732.4771,112314902.97529,2129.9
Orderly,PERP_ETH_USDC,2026-05-18T13:00:00+00:00,2026-05-18,1967.0824,4192049.30264,2131.1
Hyperliquid,ETH,2026-05-18T14:00:00+00:00,2026-05-18,34210.9131,72164500.09314,2109.4
Orderly,PERP_ETH_USDC,2026-05-18T14:00:00+00:00,2026-05-18,1421.1692,2999050.727684,2110.27
Hyperliquid,ETH,2026-05-18T15:00:00+00:00,2026-05-18,42926.0279,90419385.16856001,2106.4
Orderly,PERP_ETH_USDC,2026-05-18T15:00:00+00:00,2026-05-18,939.7349,1980228.1759779998,2107.22
Hyperliquid,ETH,2026-05-18T16:00:00+00:00,2026-05-18,21769.9638,45645083.09946,2096.7
Orderly,PERP_ETH_USDC,2026-05-18T16:00:00+00:00,2026-05-18,508.4404,1066570.680292,2097.73
Hyperliquid,ETH,2026-05-18T17:00:00+00:00,2026-05-18,8271.2028,17429078.540159997,2107.2
Orderly,PERP_ETH_USDC,2026-05-18T17:00:00+00:00,2026-05-18,147.289,310477.84754999995,2107.95
Hyperliquid,ETH,2026-05-18T18:00:00+00:00,2026-05-18,34395.9412,71560755.6666,2080.5
Orderly,PERP_ETH_USDC,2026-05-18T18:00:00+00:00,2026-05-18,306.2747,637376.027182,2081.06
Hyperliquid,ETH,2026-05-18T19:00:00+00:00,2026-05-18,86442.6592,183612852.40671998,2124.1
Orderly,PERP_ETH_USDC,2026-05-18T19:00:00+00:00,2026-05-18,661.8554,1406277.2611500002,2124.75
Hyperliquid,ETH,2026-05-18T20:00:00+00:00,2026-05-18,19320.8479,40896438.749929994,2116.7
Orderly,PERP_ETH_USDC,2026-05-18T20:00:00+00:00,2026-05-18,166.3386,352168.757148,2117.18
Hyperliquid,ETH,2026-05-18T21:00:00+00:00,2026-05-18,55314.5129,118196051.16472001,2136.8
Orderly,PERP_ETH_USDC,2026-05-18T21:00:00+00:00,2026-05-18,210.4647,449773.58713500004,2137.05
Hyperliquid,ETH,2026-05-18T22:00:00+00:00,2026-05-18,26343.2997,56253482.17938,2135.4
Orderly,PERP_ETH_USDC,2026-05-18T22:00:00+00:00,2026-05-18,233.2239,498096.28322999994,2135.7
Hyperliquid,ETH,2026-05-18T23:00:00+00:00,2026-05-18,11142.2909,23729736.929729998,2129.7
Orderly,PERP_ETH_USDC,2026-05-18T23:00:00+00:00,2026-05-18,114.466,243818.3033,2130.05
Hyperliquid,ETH,2026-05-19T00:00:00+00:00,2026-05-19,8896.7968,18999109.5664,2135.5
Orderly,PERP_ETH_USDC,2026-05-19T00:00:00+00:00,2026-05-19,778.9859,1664038.520144,2136.16
Hyperliquid,ETH,2026-05-19T01:00:00+00:00,2026-05-19,24631.3329,52319414.21289,2124.1
Orderly,PERP_ETH_USDC,2026-05-19T01:00:00+00:00,2026-05-19,232.71,494569.25460000004,2125.26
Hyperliquid,ETH,2026-05-19T02:00:00+00:00,2026-05-19,11008.5788,23363506.787240002,2122.3
Orderly,PERP_ETH_USDC,2026-05-19T02:00:00+00:00,2026-05-19,201.6415,428193.79091,2123.54
